"id","country","city","name","state","zipcode","date","gname","gaddress","website"
"104","usa","springfield","wittenberg university","oh","45504-2534","8/23/2017","Wittenberg University","200 W Ward St, Springfield, OH 45504, USA","http://www.wittenberg.edu/"
"105","usa","mount olive","university of mount olive","nc","28365-1263","8/23/2017","University of Mount Olive","634 Henderson St, Mt Olive, NC 28365, USA","http://www.umo.edu/"
"106","usa","n charleston","trident tech coll","sc","29406-4607","8/23/2017","Trident Technical College","7000 Rivers Ave, North Charleston, SC 29406, USA","http://www.tridenttech.edu/"
"107","usa","coeur d alene","north idaho college","id","83814","8/23/2017","North Idaho College","1000 W Garden Ave, Coeur d'Alene, ID 83814, USA","http://www.nic.edu/"
"108","usa","pembroke pines","broward coll-south","fl","33024","8/23/2017","Broward College-South Campus","33024, 7200 Pines Blvd, Pembroke Pines, FL 33024, USA","http://www.broward.edu/"
"109","usa","turlock","cal state u - stanislaus","ca","95382","8/23/2017","Stanislaus State","1 University Cir, Turlock, CA 95382, USA","http://www.csustan.edu/"
"110","usa","fresno","fresno city college","ca","93741","8/23/2017","Fresno City College","1101 E University Ave, Fresno, CA 93741, USA","http://www.fresnocitycollege.edu/"
"111","usa","chico","butte college - chico","ca","95928","8/23/2017","Butte College","3536 Butte Campus Dr, Oroville, CA 95965, USA","http://www.butte.edu/"
"112","usa","bakersfield","bakersfield college","ca","93305","8/23/2017","Bakersfield College","1801 Panorama Dr, Bakersfield, CA 93305, USA","http://www.bakersfieldcollege.edu/"
"113","usa","grand junction","colorado mesa university","co","81501-3122","8/23/2017","Colorado Mesa University","1100 North Ave, Grand Junction, CO 81501, USA","http://www.coloradomesa.edu/"
"114","usa","gainesville","santa fe college","fl","32606-6210","8/23/2017","Santa Fe College","3000 NW 83 St, Gainesville, FL 32606, USA","http://www.sfcollege.edu/"
"115","usa","belton","univ of mary hardin baylor","tx","76513","8/23/2017","University of Mary Hardin-Baylor","900 College St, Belton, TX 76513, USA","http://www.umhb.edu/"
"116","usa","kent","kent state university","oh","44242","8/23/2017","Kent State University - Center for Scholastic Journalism","500 Hilltop Dr. Kent State University, Kent, OH 44242, USA","http://jmc.kent.edu/csj"
"117","usa","ames","iowa state university","ia","50011","8/23/2017","Iowa State University","Ames, IA 50011, USA","http://www.iastate.edu/"
"118","usa","durham","north carolina central univ","nc","27707-3129","8/23/2017","North Carolina Central University","1801 Fayetteville St, Durham, NC 27707, USA","http://www.nccu.edu/"
"119","usa","denison","grayson county college","tx","75020","8/23/2017","Grayson College","6101 Grayson Dr, Denison, TX 75020, USA","http://www.grayson.edu/"
"120","usa","auburn university","auburn u main campus","al","36849","8/23/2017","Auburn University","Auburn, AL 36849, USA","http://www.auburn.edu/"
"121","usa","usaf academy","u s air force academy","co","80840","8/23/2017","US Air Force Academy Clinic","4102 Pinion Dr, U.S. Air Force Academy, CO 80840, USA","http://www.usafa.af.mil/"
"122","usa","los lunas","unm-main campus","nm","87031","8/23/2017","The University of New Mexico-Valencia Campus","280 La Entrada Rd, Los Lunas, NM 87031, USA","http://valencia.unm.edu/"
"123","usa","farmington","san juan college","nm","87402-4699","8/23/2017","San Juan College","4601 College Blvd, Farmington, NM 87402, USA","http://www.sanjuancollege.edu/"
"124","usa","mission","metropolitan community college","bc","v2v 3v5","8/23/2017","Metropolitan Community College","1199 W Pender St #210, Vancouver, BC V6E 2R1, Canada","http://www.metropolitancollege.ca/"
"125","usa","los angeles","univ of southern california","ca","90089","8/23/2017","University of Southern California","Los Angeles, CA 90007, USA","http://usc.edu/"
"126","usa","anderson","anderson university","sc","29621-4002","8/23/2017","Anderson University","316 Boulevard, Anderson, SC 29621, USA","http://www.andersonuniversity.edu/"
"127","usa","hattiesburg","u of southern mississippi","ms","39406-0001","8/23/2017","The University of Southern Mississippi","118 College Dr, Hattiesburg, MS 39406, USA","http://www.usm.edu/"
"128","usa","norfolk","norfolk state university","va","23504-8050","8/23/2017","Norfolk State University","700 Park Ave, Norfolk, VA 23504, USA","http://www.nsu.edu/"
"129","usa","normal","illinois state university","il","61790","8/23/2017","Illinois State University","100 N University St, Normal, IL 61761, USA","http://www.illinoisstate.edu/"
"130","usa","el dorado","butler co comm coll-el dora","ks","67042-3225","8/23/2017","Butler Community College","901 S Haverhill Rd, El Dorado, KS 67042, USA","http://www.butlercc.edu/"
"131","usa","fort worth","texas christian university","tx","76129","8/23/2017","Texas Christian University","2800 S University Dr, Fort Worth, TX 76129, USA","http://www.tcu.edu/"
