ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
3077347,AZE,Azerbaijan,RUS,Russia,,,,
3077348,AZE,Azerbaijan,RUS,Russia,,,,
3077349,AZE,Azerbaijan,RUS,Russia,,,,
3077350,AZE,Azerbaijan,RUS,Russia,,,,
3077351,AZE,Azerbaijan,RUS,Russia,,,,
3077352,AZE,Azerbaijan,RUS,Russia,,,,
3077353,AZE,Azerbaijan,RUS,Russia,,,,
3077354,AZE,Azerbaijan,RUS,Russia,,,,
3077355,AZE,Azerbaijan,RUS,Russia,,,,
3077356,AZE,Azerbaijan,RUS,Russia,,,,
3077357,AZE,Azerbaijan,RUS,Russia,,,,
3077358,AZE,Azerbaijan,RUS,Russia,,,,
3077359,AZE,Azerbaijan,RUS,Russia,,,,
3077360,AZE,Azerbaijan,RUS,Russia,,,,
3077361,AZE,Azerbaijan,RUS,Russia,,,,
3077362,AZE,Azerbaijan,RUS,Russia,,,,
3077363,AZE,Azerbaijan,RUS,Russia,,,,
3077364,AZE,Azerbaijan,RUS,Russia,,,,
3077365,AZE,Azerbaijan,RUS,Russia,,,,
3077366,AZE,Azerbaijan,RUS,Russia,,,,
3077367,AZE,Azerbaijan,RUS,Russia,,,,
3077368,AZE,Azerbaijan,RUS,Russia,,,,
3077369,AZE,Azerbaijan,RUS,Russia,,,,
3077370,AZE,Azerbaijan,RUS,Russia,,,,
3077371,AZE,Azerbaijan,RUS,Russia,,,,
3077372,AZE,Azerbaijan,RUS,Russia,,,,
3077373,AZE,Azerbaijan,RUS,Russia,,,,
3077374,AZE,Azerbaijan,RUS,Russia,,,,
3077375,AZE,Azerbaijan,RUS,Russia,,,,
3077376,AZE,Azerbaijan,RUS,Russia,,,,
3077377,AZE,Azerbaijan,RUS,Russia,,,,
3077378,AZE,Azerbaijan,RUS,Russia,,,,
3077379,AZE,Azerbaijan,RUS,Russia,,,,
3077380,AZE,Azerbaijan,RUS,Russia,,,,
3077381,AZE,Azerbaijan,RUS,Russia,,,,
3077382,AZE,Azerbaijan,RUS,Russia,,,,
3077383,AZE,Azerbaijan,RUS,Russia,,,,
3077384,AZE,Azerbaijan,RUS,Russia,,,,
3077385,AZE,Azerbaijan,RUS,Russia,,,,
3077386,AZE,Azerbaijan,RUS,Russia,,,,
3077387,AZE,Azerbaijan,RUS,Russia,,,,
3077388,AZE,Azerbaijan,RUS,Russia,,,,
3077389,AZE,Azerbaijan,RUS,Russia,,,,
3077390,AZE,Azerbaijan,RUS,Russia,,,,
3077391,AZE,Azerbaijan,RUS,Russia,,,,
3077392,AZE,Azerbaijan,RUS,Russia,,,,
3077393,AZE,Azerbaijan,RUS,Russia,,,,
3077394,AZE,Azerbaijan,RUS,Russia,,,,
3077395,AZE,Azerbaijan,RUS,Russia,,,,
3077396,AZE,Azerbaijan,RUS,Russia,,,,
3077397,AZE,Azerbaijan,RUS,Russia,,,,
3077398,AZE,Azerbaijan,RUS,Russia,,,,
3077399,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077400,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077401,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077402,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077403,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077404,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077405,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077406,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077407,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077408,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077409,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077410,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077411,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077412,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077413,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077414,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077415,BDI,Burundi,EAF-GER,East Africa (Ger),GER,Germany,EAF,GER
3077417,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077418,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077419,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077420,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077421,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077422,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077423,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077424,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077425,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077426,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077427,BEN,Benin,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077428,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077429,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077430,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077431,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077432,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077433,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077434,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077435,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077436,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077437,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077438,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077439,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077440,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077441,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077442,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077443,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077444,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077445,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077446,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077447,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077448,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077449,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077450,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077451,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077452,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077453,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077454,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077455,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077456,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077457,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077458,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077459,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077460,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077461,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077462,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077463,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077464,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077465,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077466,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077467,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077468,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
