instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
ridgeland,holmes comm coll-ridgeland,ms,39157-1815,11/8/2016
kankakee,kankakee community college,il,60901-6505,11/8/2016
lancaster,antelope valley college,ca,93536,11/9/2016
dowagiac,southwestern michigan coll,mi,49047,11/9/2016
brooklyn,long island univ (brooklyn),ny,11201-5301,11/9/2016
duluth,univ of minnesota-duluth,mn,55812-2403,11/9/2016
acworth,chatt tech - north metro,ga,30102-3129,11/9/2016
sylmar,los angeles mission college,ca,91342,11/9/2016
brooklyn,kingsborough cmty college,ny,11235,11/9/2016
victorville,victor valley college,ca,92395,11/9/2016
lebanon,mckendree university,il,62254-1291,11/9/2016
dallas,richland college,tx,75243,11/9/2016
nashville,tennessee st univ-main camp,tn,37209-1500,11/9/2016
philadelphia,comm college of philadelphi,pa,19130-3936,11/9/2016
pikeville,kctcs-big sandy-pikeville,ky,41501,11/9/2016
mount pleasant,central michigan university,mi,48859,11/9/2016
orange,career networks institute,ca,92868,11/9/2016
columbia,univ of sc - columbia,sc,29208,11/9/2016
kirtland,lakeland comm college,oh,44094-5198,11/9/2016
tomball,lonestar college - tomball,tx,77375,11/9/2016
shelby,cleveland county comm coll,nc,28152-6224,11/9/2016
oshkosh,univ of wisconsin - oshkosh,wi,54901-3551,11/9/2016
melbourne,eastern fl st coll - melbourne,fl,32935-2310,11/9/2016
blackwood,camden county college,nj,8012,11/9/2016
buffalo,erie cmty coll-city campus,ny,14203-2601,11/9/2016
elizabethtown,kctcs-elizabethtown,ky,42701-3053,11/10/2016
vancouver,clark college,wa,98663,11/10/2016
lubbock,wayland baptist univ lubboc,tx,79407,11/10/2016
santa maria,allan hancock college,ca,93454,11/10/2016
ellensburg,central washington univ,wa,98926,11/10/2016
biloxi,william carey univ - gulfport,ms,39532,11/10/2016
napa,napa valley college,ca,94558,11/10/2016
goodman,holmes community college,ms,39079,11/10/2016
odessa,odessa college,tx,79764,11/10/2016
dover,delaware state university,de,19901-2202,11/10/2016
welland,niagara college,on,l3c 7l3,11/10/2016
portland,portland state university,or,97201,11/10/2016
new york,american business institute,ny,10019-6700,11/10/2016
clarksville,austin peay state univ,tn,37040-3086,11/10/2016
plymouth,quincy -plymouth college,ma,02360-3309,11/10/2016
jackson,jackson community college,mi,49201-8395,11/10/2016
new castle,wilmington university,de,19720-6434,11/11/2016
south euclid,notre dame college of ohio,oh,44121-4228,11/11/2016
ft worth,tarrant cnty coll nw,tx,76179,11/11/2016
rock hill,york technical college,sc,29730-7318,11/11/2016
ashland,southern oregon university,or,97520,11/11/2016
cupertino,de anza college,ca,95014,11/11/2016
kissimmee,valencia coll - osceola,fl,34744-3714,11/11/2016
new orleans,delgado cmty clg,la,70119-4399,11/11/2016
santa fe,santa fe comm college,nm,87508,11/11/2016
new brunswick,rutgers state univ nj,nj,8903,11/11/2016
new york,borough manhattan cc,ny,10007-1044,11/11/2016
danville,kctcs-bluegrass-danville,ky,40422-9690,11/11/2016
sturgeon bay,northeast wi tech coll,wi,54235-1317,11/11/2016
canton,stark state collof technology,oh,44720-7228,11/12/2016
el paso,univ of texas - el paso,tx,79968,11/12/2016
anchorage,alaska whole health inst,ak,99503,11/12/2016
houston,lonestar college - univ park,tx,77070-2607,11/12/2016
palm beach gardens,palm beach state coll - north,fl,33410-2802,11/12/2016
killeen,central texas college,tx,76549,11/12/2016
kansas city,univ of kansas,ks,66100,11/12/2016
kaneohe,windward community college,hi,96744,11/12/2016
arnold,anne arundel cmty college,md,21012-1857,11/13/2016
rancho cucamonga,chaffey clg,ca,91737,11/13/2016
porterville,porterville college,ca,93257,11/13/2016
beaumont,lamar university,tx,77710,11/13/2016
university heights,john carroll university,oh,44118,11/13/2016
corvallis,oregon state university,or,97331,11/14/2016
st petersburg,st petersburg coll - downtown,fl,33701,11/14/2016
huntington,mountwest comm & tech college,wv,25701,11/14/2016
harrisonburg,james madison university,va,22807-0001,11/14/2016
levelland,south plains college,tx,79336,11/14/2016
auburn,green river comm college,wa,98092,11/14/2016
coon rapids,anoka ramsey cc - coon rapids,mn,55433,11/14/2016
galveston,galveston college,tx,77550,11/14/2016
cincinnati,univ of cincinnati/univ clg,oh,45221-0001,11/14/2016
fort worth,tarrant county college district,texas,76102,11/14/2016
sanford,seminole st coll of florida,fl,32773-6132,11/14/2016
california,california univ of pa,pa,15419-1341,11/14/2016
